epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.053,3.25118,2.87826,1.36831,0.07427,0.11461,0.02573,0.00604,3.79127,2.99073,1.42478,0.09109,9e-05,9e-05
2,355.362,2.22179,1.88605,0.91737,0.19582,0.24355,0.10971,0.02545,3.27577,4.26768,1.15408,0.0811875,0.000187492,0.000187492
3,498.214,2.14856,1.62269,0.92106,0.09129,0.18052,0.04865,0.00816,4.02302,4.30886,1.2384,0.0712823,0.000282344,0.000282344
4,652.417,2.20008,1.54598,0.91247,0.13453,0.36676,0.0938,0.02054,3.64057,3.68222,1.19735,0.0613746,0.000374556,0.000374556
5,803.123,1.96058,1.49318,0.88165,0.18944,0.41261,0.13553,0.03861,2.99907,2.55199,1.02029,0.0514641,0.000464128,0.000464128
6,960.209,2.10264,1.44615,0.8909,0.2111,0.49284,0.17678,0.05316,2.60385,1.79147,1.02318,0.0415511,0.00055106,0.00055106
7,1106.88,1.98537,1.41623,0.89064,0.36789,0.58739,0.32871,0.10861,2.20908,1.85181,0.9924,0.0316354,0.000635352,0.000635352
8,1248.5,1.95775,1.39538,0.89618,0.15276,0.48424,0.12647,0.04206,2.47249,3.47043,0.96529,0.021717,0.000717004,0.000717004
9,1402.4,1.96667,1.29842,0.87216,0.121,0.43266,0.08877,0.02532,3.0404,3.28498,0.99739,0.011796,0.000796016,0.000796016
10,1555.35,1.88551,1.31,0.85504,0.16087,0.65616,0.1408,0.04888,2.41103,2.88565,0.98147,0.00187239,0.000872388,0.000872388
11,1698.85,1.88883,1.24336,0.89019,0.21721,0.46829,0.16895,0.05183,2.73773,1.93813,0.9915,0.000868,0.000868,0.000868
12,1841.91,1.92448,1.18573,0.85283,0.23259,0.54155,0.19402,0.06035,2.59715,1.86974,0.92682,0.0008548,0.0008548,0.0008548
13,1983.13,1.91672,1.22066,0.88348,0.30839,0.59599,0.27595,0.11131,2.04553,1.47304,0.93285,0.0008416,0.0008416,0.0008416
14,2130.82,1.76927,1.20569,0.86164,0.37073,0.67335,0.37627,0.14543,1.91086,1.3311,0.93839,0.0008284,0.0008284,0.0008284
15,2269.53,1.84563,1.16851,0.89333,0.49802,0.66762,0.48431,0.16395,2.12398,1.16124,0.94325,0.0008152,0.0008152,0.0008152
16,2399.72,1.78767,1.13358,0.86242,0.45414,0.51014,0.41148,0.12152,2.52258,1.27668,0.95108,0.000802,0.000802,0.000802
17,2534.53,1.67157,1.18793,0.84968,0.3139,0.45228,0.24729,0.0667,2.79659,1.50818,0.96288,0.0007888,0.0007888,0.0007888
18,2673.09,1.9112,1.46364,0.82408,0.52248,0.61891,0.48733,0.14898,2.29027,1.30107,0.91678,0.0007756,0.0007756,0.0007756
19,2812.26,1.74883,1.24109,0.81962,0.42579,0.6361,0.4224,0.12244,2.37032,1.27632,0.92,0.0007624,0.0007624,0.0007624
20,2954.13,1.73052,1.24556,0.841,0.29709,0.58453,0.24822,0.07649,2.49958,1.42234,0.91883,0.0007492,0.0007492,0.0007492
21,3106.53,1.73009,1.19546,0.84271,0.31212,0.65616,0.28988,0.09075,2.3557,1.33209,0.90619,0.000736,0.000736,0.000736
22,3258.72,1.73176,1.05019,0.83829,0.49325,0.6361,0.47825,0.16608,2.24721,1.23639,0.90179,0.0007228,0.0007228,0.0007228
23,3412.36,1.55924,1.09922,0.75595,0.52157,0.69628,0.50297,0.16119,2.40183,1.18168,0.94855,0.0007096,0.0007096,0.0007096
24,3568.75,1.81415,1.12458,0.82096,0.56697,0.75931,0.62904,0.21211,2.13928,1.11488,0.91381,0.0006964,0.0006964,0.0006964
25,3729.95,1.74274,1.05496,0.83934,0.61205,0.76504,0.63083,0.2291,1.98695,1.10484,0.8839,0.0006832,0.0006832,0.0006832
26,3880.32,1.71695,1.09347,0.83548,0.6598,0.70774,0.65769,0.21798,2.16843,1.11523,0.89248,0.00067,0.00067,0.00067
27,4031.87,1.7086,1.02915,0.84658,0.6445,0.72779,0.70003,0.24094,2.15129,1.07929,0.90464,0.0006568,0.0006568,0.0006568
28,4185.27,1.65043,1.01751,0.84141,0.68319,0.76619,0.74385,0.27109,1.96648,0.99024,0.87058,0.0006436,0.0006436,0.0006436
29,4344.4,1.61821,1.24901,0.80831,0.66128,0.76638,0.67775,0.23847,2.04108,1.05178,0.87155,0.0006304,0.0006304,0.0006304
30,4496.78,1.75462,1.02964,0.82835,0.64741,0.77364,0.66012,0.22236,2.1687,1.07471,0.88502,0.0006172,0.0006172,0.0006172
31,4652.59,1.63453,1.02267,0.82988,0.63409,0.77077,0.66395,0.2263,2.19295,1.09248,0.88843,0.000604,0.000604,0.000604
32,4805.53,1.68415,0.97721,0.8392,0.61959,0.75138,0.63198,0.22031,2.24186,1.11521,0.88704,0.0005908,0.0005908,0.0005908
33,4949.3,1.60938,1.04984,0.84479,0.68654,0.74053,0.68792,0.23363,2.23879,1.04682,0.87454,0.0005776,0.0005776,0.0005776
34,5092.28,1.59853,1.01502,0.82117,0.67875,0.76884,0.71251,0.25941,2.07391,1.1031,0.86664,0.0005644,0.0005644,0.0005644
35,5240.08,1.55071,1.03828,0.82277,0.74235,0.79943,0.7874,0.30098,1.94203,1.0002,0.8584,0.0005512,0.0005512,0.0005512
36,5380.44,1.38383,1.17394,0.73043,0.69802,0.77364,0.73137,0.24707,2.16627,1.09639,0.86852,0.000538,0.000538,0.000538
37,5520.44,1.71144,1.03546,0.80901,0.65266,0.75072,0.69516,0.22258,2.23234,1.16487,0.87174,0.0005248,0.0005248,0.0005248
38,5657.08,1.64143,1.03245,0.82168,0.68993,0.76509,0.7499,0.29975,1.94147,1.03859,0.85942,0.0005116,0.0005116,0.0005116
39,5801.23,1.61334,1.02575,0.81987,0.69561,0.78578,0.76068,0.31249,1.91523,1.01523,0.86278,0.0004984,0.0004984,0.0004984
40,5935.1,1.5395,1.0136,0.78702,0.65189,0.75658,0.67703,0.22764,2.23015,1.11036,0.87112,0.0004852,0.0004852,0.0004852
41,6062.62,1.64896,0.96947,0.80341,0.6632,0.75042,0.68829,0.22165,2.30391,1.09405,0.86008,0.000472,0.000472,0.000472
42,6196.01,1.4201,1.01653,0.7531,0.70572,0.72779,0.71609,0.24953,2.12938,1.08199,0.85592,0.0004588,0.0004588,0.0004588
43,6346.44,1.52419,0.98086,0.80616,0.70901,0.75645,0.75037,0.26484,2.11404,1.10541,0.86686,0.0004456,0.0004456,0.0004456
44,6480.79,1.72204,1.04313,0.78046,0.73241,0.73926,0.7565,0.26783,2.13356,1.11226,0.87184,0.0004324,0.0004324,0.0004324
45,6617.95,1.5111,0.91413,0.79188,0.71567,0.74785,0.7405,0.25392,2.20333,1.09022,0.85705,0.0004192,0.0004192,0.0004192
46,6751.2,1.57965,0.98866,0.79208,0.73384,0.74263,0.74904,0.27123,2.23369,1.0943,0.84799,0.000406,0.000406,0.000406
47,6896.7,1.63667,0.9553,0.78936,0.78105,0.78705,0.80712,0.30373,2.16687,1.07974,0.84968,0.0003928,0.0003928,0.0003928
48,7036.69,1.55575,1.01622,0.78434,0.78547,0.81948,0.83475,0.32658,2.01199,1.02511,0.85815,0.0003796,0.0003796,0.0003796
49,7171.38,1.5267,0.89768,0.78574,0.77955,0.82073,0.82113,0.30303,2.08848,1.02445,0.86384,0.0003664,0.0003664,0.0003664
50,7306.11,1.57299,0.93739,0.81062,0.78752,0.80516,0.82169,0.32455,2.0429,0.9936,0.85194,0.0003532,0.0003532,0.0003532
51,7453.1,1.52691,0.92706,0.80753,0.80758,0.82235,0.8454,0.35497,1.91696,0.91786,0.84784,0.00034,0.00034,0.00034
52,7589.68,1.5598,0.91977,0.77031,0.83559,0.84464,0.8481,0.35567,1.90661,0.92076,0.86141,0.0003268,0.0003268,0.0003268
53,7727.05,1.55179,0.936,0.79082,0.79836,0.83954,0.82371,0.32668,2.01768,0.96978,0.86872,0.0003136,0.0003136,0.0003136
54,7869.75,1.46834,0.97188,0.79053,0.7882,0.82521,0.81419,0.32566,2.01997,0.99917,0.84314,0.0003004,0.0003004,0.0003004
55,8012.74,1.50929,0.87205,0.78831,0.8042,0.8238,0.82833,0.33237,1.98889,0.96796,0.84791,0.0002872,0.0002872,0.0002872
56,8157.69,1.57538,0.90805,0.79741,0.81744,0.83954,0.85238,0.34981,1.90206,0.92302,0.84617,0.000274,0.000274,0.000274
57,8294.04,1.5132,0.92184,0.78048,0.81922,0.83095,0.84363,0.34365,1.8975,0.91867,0.86225,0.0002608,0.0002608,0.0002608
58,8439.34,1.51774,0.89926,0.80094,0.81029,0.80775,0.84002,0.33209,1.99112,0.95717,0.84054,0.0002476,0.0002476,0.0002476
59,8572.1,1.53424,0.93046,0.76099,0.76561,0.79656,0.80401,0.31047,2.06506,0.99127,0.83809,0.0002344,0.0002344,0.0002344
60,8721.35,1.50418,1.02813,0.78405,0.78427,0.8021,0.82407,0.32956,1.99795,0.97521,0.83552,0.0002212,0.0002212,0.0002212
61,8871.96,1.43895,1.0577,0.7433,0.7813,0.79842,0.81002,0.32107,2.01521,0.98559,0.84627,0.000208,0.000208,0.000208
62,9030.19,1.46576,0.93539,0.76352,0.7621,0.79856,0.78437,0.28997,2.1334,1.05047,0.85873,0.0001948,0.0001948,0.0001948
