epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.03,4.72959,5.85293,2.44193,0.17846,0.10094,0.07167,0.01688,3.28362,2.76084,1.71008,0.0847,0.0017,0.0017
2,20.2035,2.90466,2.33826,1.49909,0.40406,0.56526,0.44435,0.15331,2.65979,2.00398,1.29252,0.0684685,0.0034685,0.0034685
3,28.4683,2.45343,1.78395,1.23401,0.53908,0.66592,0.6185,0.24365,2.6143,2.45435,1.1845,0.0522046,0.0052046,0.0052046
4,36.8321,2.3942,1.72605,1.20923,0.71869,0.87061,0.87083,0.36198,2.27816,2.12656,1.1756,0.0359083,0.0069083,0.0069083
5,45.0384,2.28293,1.76869,1.14787,0.77285,0.79187,0.85752,0.35251,2.18826,1.62884,1.08491,0.0195796,0.0085796,0.0085796
6,53.1385,2.44533,1.87662,1.16347,0.71252,0.75778,0.8479,0.39347,2.03531,1.7694,1.01506,0.00955,0.00955,0.00955
7,61.353,2.30904,1.88712,1.10542,0.69327,0.87918,0.82318,0.34987,2.44935,2.74089,1.09363,0.00946,0.00946,0.00946
8,69.7228,2.3632,1.65635,1.1115,0.53649,0.83079,0.74522,0.2723,2.05854,1.99993,1.03159,0.00937,0.00937,0.00937
9,77.7839,2.2336,1.38337,1.09137,0.7849,0.87303,0.84189,0.39359,2.06735,1.43325,1.02184,0.00928,0.00928,0.00928
10,86.3685,2.42118,1.42948,1.15045,0.81033,0.86119,0.85479,0.34764,2.0996,1.44684,1.05397,0.00919,0.00919,0.00919
11,94.9297,2.31551,1.41606,1.11809,0.74726,0.80632,0.83987,0.37507,2.02115,1.26709,1.03136,0.0091,0.0091,0.0091
12,103.279,2.15846,1.35758,1.06913,0.86422,0.93411,0.89633,0.40301,1.97583,1.24581,1.03071,0.00901,0.00901,0.00901
13,111.496,2.256,1.34795,1.09331,0.77027,0.78345,0.83534,0.34107,2.07861,1.2774,1.01126,0.00892,0.00892,0.00892
14,119.833,2.2457,1.27931,1.0685,0.76883,0.88173,0.89334,0.41221,1.95021,1.14427,1.02484,0.00883,0.00883,0.00883
15,128.194,2.07681,1.22701,1.09831,0.7913,0.93191,0.89826,0.41027,1.82296,1.12092,1.03437,0.00874,0.00874,0.00874
16,135.905,2.01879,1.28222,1.08924,0.85402,0.93541,0.89455,0.44531,1.82405,1.08106,1.0068,0.00865,0.00865,0.00865
17,144.04,2.11466,1.14777,1.06052,0.87243,0.94152,0.89075,0.43475,1.89218,1.10724,1.00586,0.00856,0.00856,0.00856
18,152.896,2.02702,1.09241,1.06021,0.83871,0.94136,0.88952,0.42432,1.77777,1.05199,0.97033,0.00847,0.00847,0.00847
19,161.117,1.95412,1.08217,1.03132,0.90359,0.9307,0.92374,0.45511,1.78448,0.9923,0.99593,0.00838,0.00838,0.00838
20,169.282,2.06036,1.07812,1.04421,0.88786,0.92887,0.90834,0.45614,1.75061,1.02707,0.9883,0.00829,0.00829,0.00829
21,177.591,2.02614,1.07975,1.02836,0.80535,0.87981,0.82131,0.42012,2.04602,1.1507,0.94955,0.0082,0.0082,0.0082
22,186.173,1.98659,1.10691,1.0364,0.86905,0.93852,0.90506,0.45117,1.78164,1.03113,0.99205,0.00811,0.00811,0.00811
23,194.46,1.9305,1.05915,1.04588,0.87115,0.94304,0.90767,0.45579,1.77038,0.99912,0.98247,0.00802,0.00802,0.00802
24,202.663,1.88341,1.03316,1.01104,0.77925,0.95414,0.89207,0.45588,1.70779,0.97072,0.97971,0.00793,0.00793,0.00793
25,211.256,1.94069,1.0078,1.03644,0.89564,0.9601,0.92885,0.46022,1.83164,0.9774,0.98219,0.00784,0.00784,0.00784
26,219.453,1.90268,1.00253,1.01211,0.86323,0.94471,0.88986,0.45489,1.71655,0.96729,0.96564,0.00775,0.00775,0.00775
27,227.334,1.85848,1.00383,1.02103,0.89774,0.95303,0.91415,0.45469,1.70811,0.96679,0.96978,0.00766,0.00766,0.00766
28,235.731,1.8189,0.98527,1.02882,0.88802,0.95828,0.92711,0.46782,1.67926,0.9634,0.9689,0.00757,0.00757,0.00757
29,244.227,1.83887,0.9779,1.04259,0.9057,0.96442,0.93577,0.46258,1.74099,0.94885,0.97621,0.00748,0.00748,0.00748
30,252.451,1.83883,0.95815,1.00935,0.89505,0.95673,0.92583,0.47523,1.74489,0.92301,0.9614,0.00739,0.00739,0.00739
31,260.773,1.86659,0.95159,1.01207,0.86718,0.93926,0.88837,0.45141,1.83528,0.96028,0.96845,0.0073,0.0073,0.0073
32,269.624,1.84309,0.95315,0.98002,0.88735,0.9375,0.9131,0.45393,1.7103,0.95712,0.95196,0.00721,0.00721,0.00721
33,277.875,1.81425,0.93849,0.99184,0.91055,0.9649,0.93315,0.47498,1.66855,0.9019,0.94579,0.00712,0.00712,0.00712
34,285.963,1.84776,0.92528,0.99123,0.91105,0.96731,0.93525,0.4928,1.59555,0.87456,0.95671,0.00703,0.00703,0.00703
35,294.331,1.73272,0.91349,0.99001,0.91021,0.95518,0.94067,0.49805,1.64413,0.88143,0.9548,0.00694,0.00694,0.00694
36,302.643,1.77317,0.91353,1.00227,0.93084,0.97163,0.96102,0.50475,1.59677,0.87742,0.9463,0.00685,0.00685,0.00685
37,310.778,1.75738,0.90632,0.97068,0.91242,0.96346,0.94041,0.49213,1.66139,0.89758,0.94692,0.00676,0.00676,0.00676
38,319.121,1.77497,0.91567,0.99049,0.91326,0.97376,0.94376,0.49521,1.57063,0.87277,0.94215,0.00667,0.00667,0.00667
39,327.484,1.73405,0.90566,0.98758,0.9236,0.97523,0.95246,0.49773,1.60056,0.87317,0.9401,0.00658,0.00658,0.00658
40,335.633,1.75506,0.87884,0.97977,0.93012,0.9691,0.94937,0.50276,1.63198,0.86381,0.94807,0.00649,0.00649,0.00649
41,343.546,1.78342,0.87054,0.97205,0.93365,0.96683,0.94955,0.49368,1.73003,0.87878,0.93398,0.0064,0.0064,0.0064
42,351.797,1.72206,0.88376,0.97273,0.94452,0.9726,0.96224,0.51175,1.54106,0.8513,0.93025,0.00631,0.00631,0.00631
43,360.134,1.7086,0.8734,0.97571,0.94464,0.98271,0.97273,0.51696,1.61007,0.84956,0.9288,0.00622,0.00622,0.00622
44,368.039,1.72629,0.8662,0.97871,0.93648,0.98221,0.96835,0.50906,1.59926,0.84396,0.93937,0.00613,0.00613,0.00613
45,376.193,1.7266,0.87596,0.97287,0.93703,0.97959,0.9644,0.49357,1.6406,0.86324,0.93806,0.00604,0.00604,0.00604
46,384.981,1.73095,0.8744,0.96346,0.92403,0.9774,0.94822,0.51001,1.5605,0.84119,0.92909,0.00595,0.00595,0.00595
47,393.082,1.6825,0.86172,0.96444,0.92357,0.96815,0.95019,0.49721,1.58063,0.85385,0.92939,0.00586,0.00586,0.00586
48,401.219,1.67924,0.84831,0.95692,0.92013,0.97526,0.95052,0.50166,1.57007,0.84479,0.92976,0.00577,0.00577,0.00577
49,409.179,1.70916,0.87134,0.95285,0.93427,0.97019,0.95873,0.50419,1.5838,0.85458,0.92494,0.00568,0.00568,0.00568
50,417.756,1.66928,0.84392,0.96373,0.94664,0.98173,0.97052,0.50936,1.60311,0.84693,0.92313,0.00559,0.00559,0.00559
51,426.055,1.703,0.85799,0.95311,0.91902,0.96346,0.95544,0.50214,1.59423,0.85055,0.92507,0.0055,0.0055,0.0055
52,434.188,1.68849,0.85925,0.93669,0.93426,0.97383,0.96265,0.50715,1.58346,0.82987,0.92522,0.00541,0.00541,0.00541
53,442.359,1.67691,0.84412,0.96829,0.92762,0.97342,0.95988,0.50294,1.56886,0.83749,0.92084,0.00532,0.00532,0.00532
54,450.499,1.65144,0.83827,0.96169,0.96622,0.97788,0.97784,0.51324,1.59622,0.81702,0.92113,0.00523,0.00523,0.00523
55,458.675,1.66522,0.82285,0.95249,0.97304,0.98015,0.98448,0.51632,1.62568,0.81308,0.91651,0.00514,0.00514,0.00514
56,466.646,1.67502,0.82983,0.94064,0.94406,0.97692,0.96444,0.50919,1.60891,0.82824,0.91087,0.00505,0.00505,0.00505
57,474.979,1.62239,0.81846,0.95625,0.96188,0.9781,0.97772,0.52218,1.52645,0.80816,0.91977,0.00496,0.00496,0.00496
58,483.687,1.64175,0.82013,0.9489,0.97911,0.97975,0.97897,0.53141,1.52625,0.80162,0.9174,0.00487,0.00487,0.00487
59,491.589,1.6239,0.8127,0.93504,0.97324,0.97658,0.97735,0.53073,1.54023,0.7924,0.91395,0.00478,0.00478,0.00478
60,499.396,1.64184,0.80888,0.94846,0.97377,0.97981,0.97993,0.53029,1.52994,0.79596,0.91279,0.00469,0.00469,0.00469
61,507.784,1.63323,0.81937,0.94299,0.94965,0.97404,0.96539,0.51834,1.5374,0.79495,0.91884,0.0046,0.0046,0.0046
62,516.023,1.64675,0.81522,0.94829,0.96198,0.98077,0.98015,0.53088,1.5442,0.78822,0.91321,0.00451,0.00451,0.00451
63,524.395,1.64754,0.80149,0.93954,0.96129,0.97548,0.97094,0.51441,1.56944,0.79134,0.92223,0.00442,0.00442,0.00442
64,532.464,1.631,0.80204,0.93521,0.97423,0.97788,0.98199,0.52371,1.55554,0.78019,0.91733,0.00433,0.00433,0.00433
65,540.47,1.61008,0.78122,0.95174,0.96391,0.98125,0.97945,0.52274,1.57592,0.79556,0.91503,0.00424,0.00424,0.00424
66,548.869,1.61908,0.78101,0.94394,0.95445,0.97548,0.96724,0.50882,1.5719,0.78969,0.92338,0.00415,0.00415,0.00415
67,556.694,1.61225,0.78447,0.95106,0.96462,0.97308,0.97071,0.5163,1.56979,0.76287,0.922,0.00406,0.00406,0.00406
68,564.907,1.60884,0.76948,0.942,0.97812,0.97725,0.98063,0.5242,1.54421,0.75462,0.91668,0.00397,0.00397,0.00397
69,573.798,1.59232,0.7808,0.93472,0.96912,0.97521,0.97782,0.52982,1.52259,0.75568,0.91402,0.00388,0.00388,0.00388
70,581.918,1.58555,0.79416,0.93467,0.96671,0.97376,0.97809,0.53104,1.51807,0.7698,0.90977,0.00379,0.00379,0.00379
71,590.019,1.57423,0.78732,0.93015,0.96498,0.97232,0.97414,0.51629,1.55797,0.77545,0.9155,0.0037,0.0037,0.0037
72,598.261,1.60094,0.77309,0.93313,0.95993,0.9735,0.969,0.51467,1.59536,0.77875,0.9117,0.00361,0.00361,0.00361
73,606.4,1.59754,0.77357,0.93568,0.95697,0.97282,0.96773,0.51795,1.5712,0.77252,0.90377,0.00352,0.00352,0.00352
74,614.625,1.58572,0.76958,0.92698,0.97636,0.97667,0.98051,0.5269,1.55116,0.76081,0.90425,0.00343,0.00343,0.00343
75,622.658,1.58244,0.76962,0.93237,0.97865,0.97988,0.98561,0.53598,1.54334,0.76636,0.90167,0.00334,0.00334,0.00334
76,630.726,1.59038,0.76873,0.91953,0.98293,0.98023,0.98641,0.5333,1.50719,0.7586,0.90601,0.00325,0.00325,0.00325
77,639.307,1.55169,0.76272,0.9244,0.98102,0.98366,0.98774,0.53443,1.5498,0.75662,0.90663,0.00316,0.00316,0.00316
78,647.475,1.5763,0.75506,0.94258,0.98016,0.97808,0.98508,0.54119,1.52099,0.73819,0.91028,0.00307,0.00307,0.00307
79,655.452,1.56187,0.74539,0.92303,0.979,0.98069,0.9865,0.53994,1.53474,0.73897,0.9069,0.00298,0.00298,0.00298
80,664.141,1.5698,0.75503,0.92807,0.97844,0.98439,0.9862,0.54157,1.52661,0.73746,0.9073,0.00289,0.00289,0.00289
81,672.525,1.5636,0.7507,0.92136,0.97723,0.97963,0.98379,0.54148,1.50687,0.74154,0.90492,0.0028,0.0028,0.0028
82,680.809,1.55381,0.73798,0.92619,0.98198,0.98021,0.9872,0.53844,1.52804,0.72293,0.90346,0.00271,0.00271,0.00271
83,688.915,1.56282,0.73877,0.92294,0.97878,0.98102,0.98715,0.53929,1.52708,0.72685,0.9035,0.00262,0.00262,0.00262
84,697.384,1.53854,0.7288,0.93218,0.98491,0.98003,0.98928,0.5399,1.50883,0.72374,0.9036,0.00253,0.00253,0.00253
85,705.503,1.5563,0.72864,0.92034,0.98118,0.98668,0.99066,0.55018,1.51504,0.71326,0.89977,0.00244,0.00244,0.00244
86,713.638,1.55233,0.72536,0.92484,0.97984,0.97806,0.98579,0.54413,1.50469,0.72204,0.90019,0.00235,0.00235,0.00235
87,721.852,1.54851,0.72754,0.92473,0.97726,0.97787,0.98472,0.53982,1.52635,0.72487,0.89829,0.00226,0.00226,0.00226
88,730.48,1.54303,0.72932,0.92268,0.98182,0.97886,0.98816,0.54298,1.50634,0.71383,0.90133,0.00217,0.00217,0.00217
89,738.361,1.54131,0.72599,0.92634,0.98324,0.98044,0.98788,0.53744,1.52385,0.72057,0.90034,0.00208,0.00208,0.00208
90,746.42,1.51826,0.72061,0.92107,0.97554,0.98868,0.98717,0.54232,1.51614,0.71091,0.89933,0.00199,0.00199,0.00199
91,757.497,1.54066,0.76883,0.9435,0.98021,0.97828,0.98778,0.54556,1.50001,0.72102,0.89878,0.0019,0.0019,0.0019
92,765.656,1.53563,0.73314,0.94138,0.97658,0.98794,0.99018,0.5394,1.51471,0.72078,0.90025,0.00181,0.00181,0.00181
93,773.491,1.54306,0.73668,0.95014,0.9767,0.98368,0.98909,0.54061,1.51585,0.72425,0.89831,0.00172,0.00172,0.00172
94,782.459,1.52407,0.72976,0.93429,0.9761,0.97892,0.98704,0.53176,1.51508,0.72213,0.89683,0.00163,0.00163,0.00163
95,790.092,1.52864,0.72381,0.94524,0.98031,0.98036,0.98844,0.53822,1.48659,0.73231,0.89566,0.00154,0.00154,0.00154
96,798.113,1.52677,0.72507,0.93883,0.97739,0.97971,0.98811,0.54152,1.48412,0.73385,0.89569,0.00145,0.00145,0.00145
97,805.943,1.51922,0.72613,0.93421,0.97681,0.97761,0.98656,0.54108,1.49787,0.72809,0.89395,0.00136,0.00136,0.00136
98,813.742,1.52119,0.71321,0.95191,0.97311,0.97857,0.98751,0.54123,1.50787,0.7193,0.89351,0.00127,0.00127,0.00127
99,821.796,1.51961,0.71847,0.93381,0.97841,0.97905,0.9858,0.54034,1.51189,0.716,0.89538,0.00118,0.00118,0.00118
100,829.31,1.52642,0.70931,0.94117,0.9784,0.98049,0.98593,0.54182,1.50341,0.714,0.89416,0.00109,0.00109,0.00109
