epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9493,4.58323,10.8121,2.32097,0.00178,0.01596,0.00097,0.00013,4.02085,6.18584,1.69936,0.082,0.002,0.002
2,25.0345,2.88438,3.66379,1.2866,0.34741,0.54383,0.48747,0.18317,2.13397,2.06861,1.04141,0.0630473,0.00404729,0.00404729
3,35.2094,2.21262,2.06644,1.0316,0.86913,0.8474,0.90517,0.33296,2.1918,1.39698,1.06026,0.0440406,0.00604057,0.00604057
4,45.1122,2.29538,2.25867,1.07418,0.10927,0.73531,0.38946,0.16427,2.06998,2.95257,1.07307,0.0249799,0.00797986,0.00797986
5,55.6619,1.96769,2.11276,1.01189,0.28508,0.82523,0.5556,0.24253,2.0012,2.60774,1.04955,0.00948571,0.00948571,0.00948571
6,65.8246,2.1615,1.78179,1.0399,0.87781,0.90357,0.95894,0.39176,1.94873,2.04181,0.98722,0.00935714,0.00935714,0.00935714
7,76.9049,2.00269,1.71765,0.99472,0.93847,0.71277,0.95558,0.43421,1.84834,1.47523,0.96261,0.00922857,0.00922857,0.00922857
8,87.0415,2.09053,1.40098,1.02196,0.81685,0.95712,0.9511,0.42421,1.94813,1.03277,1.00358,0.0091,0.0091,0.0091
9,96.9183,2.04467,1.13865,1.01556,0.95504,0.97212,0.9772,0.3546,2.02519,1.37538,1.02538,0.00897143,0.00897143,0.00897143
10,107.382,2.03068,0.99114,1.00834,0.66607,0.92772,0.84332,0.3145,2.03946,1.28919,1.02241,0.00884286,0.00884286,0.00884286
11,117.746,1.9369,1.02141,1.01097,0.98468,0.97946,0.98778,0.42229,1.96625,0.88739,1.00191,0.00871429,0.00871429,0.00871429
12,128.31,1.92854,0.95185,0.98055,0.96975,0.97609,0.98242,0.47983,1.73677,0.84509,0.93319,0.00858571,0.00858571,0.00858571
13,138.372,1.96867,0.93183,0.97578,0.96838,0.97578,0.97928,0.45965,1.75936,0.81952,0.9491,0.00845714,0.00845714,0.00845714
14,148.411,1.81884,0.86684,0.9886,0.96619,0.97458,0.98039,0.45811,1.85415,0.95053,0.96162,0.00832857,0.00832857,0.00832857
15,158.741,1.85315,0.84168,0.97761,0.97298,0.98622,0.9834,0.4827,1.67742,0.80307,0.92546,0.0082,0.0082,0.0082
16,169.239,1.79473,0.89141,0.96202,0.94744,0.98578,0.97792,0.48244,1.71804,0.78077,0.94032,0.00807143,0.00807143,0.00807143
17,179.454,1.88412,0.85174,0.9845,0.97818,0.98791,0.98475,0.48429,1.70702,0.79477,0.93401,0.00794286,0.00794286,0.00794286
18,189.083,1.76497,0.78392,0.94564,0.97173,0.98099,0.97235,0.4811,1.73647,0.7596,0.9438,0.00781429,0.00781429,0.00781429
19,199.658,1.78764,0.776,0.96737,0.98056,0.98657,0.98645,0.48889,1.72959,0.74455,0.94453,0.00768571,0.00768571,0.00768571
20,210.313,1.77696,0.78833,0.97378,0.98582,0.98647,0.98936,0.49955,1.70701,0.78628,0.92662,0.00755714,0.00755714,0.00755714
21,221.298,1.75976,0.78813,0.96317,0.97708,0.9852,0.98957,0.50688,1.64343,0.77821,0.91104,0.00742857,0.00742857,0.00742857
22,231.678,1.69702,0.74628,0.94846,0.97623,0.98963,0.9908,0.51745,1.6544,0.73806,0.92309,0.0073,0.0073,0.0073
23,241.445,1.69593,0.729,0.95029,0.98002,0.98867,0.98905,0.52102,1.63257,0.72279,0.91656,0.00717143,0.00717143,0.00717143
24,251.704,1.73797,0.73834,0.94658,0.98268,0.98416,0.98608,0.512,1.64019,0.73834,0.91212,0.00704286,0.00704286,0.00704286
25,262.584,1.70501,0.73751,0.94148,0.97381,0.98319,0.98909,0.5272,1.6514,0.72395,0.91324,0.00691429,0.00691429,0.00691429
26,273.533,1.75064,0.72622,0.96846,0.98092,0.9883,0.98887,0.51562,1.74728,0.72205,0.9308,0.00678571,0.00678571,0.00678571
27,284.511,1.7049,0.75464,0.94546,0.98549,0.97987,0.98527,0.49465,1.74793,0.70157,0.93054,0.00665714,0.00665714,0.00665714
28,294.859,1.6895,0.70143,0.94841,0.98259,0.98808,0.98594,0.50545,1.69361,0.69745,0.92218,0.00652857,0.00652857,0.00652857
29,304.854,1.71139,0.71886,0.93864,0.98372,0.98562,0.98543,0.50494,1.67138,0.73526,0.91842,0.0064,0.0064,0.0064
30,315.378,1.65506,0.70024,0.94316,0.98497,0.99425,0.99,0.52991,1.64149,0.6761,0.90827,0.00627143,0.00627143,0.00627143
31,326.099,1.77436,0.72078,0.97572,0.98788,0.99425,0.989,0.52272,1.65582,0.72811,0.90966,0.00614286,0.00614286,0.00614286
32,336.75,1.67806,0.73365,0.93874,0.98933,0.99447,0.98944,0.52856,1.6539,0.69597,0.90978,0.00601429,0.00601429,0.00601429
33,347.344,1.67589,0.70096,0.94276,0.96217,0.99159,0.98796,0.53009,1.70088,0.71949,0.92451,0.00588571,0.00588571,0.00588571
34,357.559,1.66781,0.67368,0.93675,0.98274,0.99117,0.98932,0.52729,1.68232,0.69031,0.92781,0.00575714,0.00575714,0.00575714
35,368.151,1.66654,0.67776,0.92798,0.98579,0.98742,0.99106,0.52211,1.68492,0.70074,0.9185,0.00562857,0.00562857,0.00562857
36,378.781,1.63989,0.66843,0.93133,0.98891,0.98966,0.99326,0.55852,1.60785,0.69671,0.90513,0.0055,0.0055,0.0055
37,389.713,1.61339,0.66889,0.92728,0.94896,0.99119,0.99369,0.55801,1.59686,0.68855,0.90249,0.00537143,0.00537143,0.00537143
38,400.377,1.65891,0.6575,0.95227,0.98196,0.98404,0.98166,0.4803,1.73844,0.69523,0.92196,0.00524286,0.00524286,0.00524286
39,411.017,1.67787,0.67244,0.94491,0.97846,0.9908,0.99076,0.53172,1.65192,0.66707,0.91131,0.00511429,0.00511429,0.00511429
40,421.331,1.59244,0.67633,0.92215,0.99221,0.99339,0.9946,0.55034,1.61585,0.66246,0.90574,0.00498571,0.00498571,0.00498571
41,431.979,1.58939,0.66182,0.92502,0.98112,0.98913,0.9898,0.5209,1.68249,0.67298,0.91518,0.00485714,0.00485714,0.00485714
42,442.468,1.54569,0.63611,0.91967,0.98268,0.99146,0.99208,0.51628,1.64444,0.68772,0.90947,0.00472857,0.00472857,0.00472857
43,453.07,1.65419,0.68231,0.92321,0.98152,0.98583,0.98867,0.52271,1.63718,0.68303,0.91005,0.0046,0.0046,0.0046
44,463.745,1.63337,0.65092,0.92944,0.98286,0.9859,0.98997,0.52774,1.68563,0.67703,0.9153,0.00447143,0.00447143,0.00447143
45,473.649,1.57331,0.64304,0.92054,0.9828,0.99201,0.99239,0.52018,1.68944,0.70474,0.91697,0.00434286,0.00434286,0.00434286
46,483.794,1.59991,0.64556,0.91777,0.98942,0.98717,0.99454,0.52553,1.66834,0.66929,0.90957,0.00421429,0.00421429,0.00421429
47,494.171,1.60728,0.6496,0.93052,0.98449,0.98937,0.99165,0.48806,1.77258,0.69611,0.92786,0.00408571,0.00408571,0.00408571
48,504.802,1.57512,0.64291,0.92894,0.9746,0.98405,0.98044,0.51176,1.71616,0.6689,0.92082,0.00395714,0.00395714,0.00395714
49,515.104,1.58803,0.63956,0.92506,0.98914,0.99156,0.99376,0.50887,1.68469,0.66876,0.91245,0.00382857,0.00382857,0.00382857
50,525.526,1.54051,0.62681,0.93561,0.98948,0.99238,0.99301,0.52101,1.66624,0.65582,0.91482,0.0037,0.0037,0.0037
51,535.503,1.58247,0.63408,0.93089,0.98402,0.98632,0.98733,0.52888,1.68828,0.66311,0.91811,0.00357143,0.00357143,0.00357143
52,545.804,1.556,0.63652,0.90561,0.99176,0.99186,0.99312,0.53518,1.64662,0.65909,0.90949,0.00344286,0.00344286,0.00344286
53,556.228,1.55208,0.63621,0.90897,0.99054,0.99269,0.99361,0.52502,1.68849,0.69607,0.916,0.00331429,0.00331429,0.00331429
54,566.474,1.53607,0.62337,0.91946,0.98452,0.99303,0.99262,0.54379,1.64234,0.67046,0.90955,0.00318571,0.00318571,0.00318571
55,576.182,1.52731,0.62556,0.91443,0.98727,0.99646,0.99326,0.52659,1.67259,0.67141,0.91275,0.00305714,0.00305714,0.00305714
56,586.737,1.54496,0.62536,0.91372,0.98708,0.99565,0.99312,0.52879,1.68053,0.66822,0.91206,0.00292857,0.00292857,0.00292857
57,597.535,1.53348,0.6239,0.92018,0.985,0.99383,0.99084,0.52376,1.70432,0.66195,0.91909,0.0028,0.0028,0.0028
58,607.861,1.5191,0.6271,0.8995,0.98812,0.99691,0.99368,0.53629,1.64612,0.65167,0.91137,0.00267143,0.00267143,0.00267143
59,618.217,1.49843,0.61458,0.90505,0.98381,0.99195,0.99117,0.53026,1.66959,0.65929,0.91257,0.00254286,0.00254286,0.00254286
60,628.188,1.5192,0.61218,0.90803,0.98704,0.99489,0.99317,0.52258,1.67655,0.6658,0.91618,0.00241429,0.00241429,0.00241429
61,641.299,1.50689,0.62425,0.91694,0.98507,0.99195,0.98989,0.51859,1.69213,0.66436,0.918,0.00228571,0.00228571,0.00228571
62,651.406,1.50164,0.60602,0.9229,0.9825,0.98817,0.98491,0.51802,1.67163,0.65774,0.91451,0.00215714,0.00215714,0.00215714
63,662.325,1.5086,0.60656,0.93471,0.98362,0.98717,0.9835,0.53043,1.63519,0.65802,0.9109,0.00202857,0.00202857,0.00202857
64,672.777,1.49806,0.59972,0.9379,0.98386,0.98644,0.98259,0.52777,1.66007,0.67034,0.91575,0.0019,0.0019,0.0019
65,682.724,1.52082,0.59779,0.93169,0.98234,0.985,0.98325,0.52316,1.657,0.68364,0.91224,0.00177143,0.00177143,0.00177143
66,692.697,1.49076,0.62557,0.91725,0.97954,0.9852,0.98364,0.52036,1.66361,0.67878,0.91025,0.00164286,0.00164286,0.00164286
67,703.4,1.4831,0.61935,0.92325,0.98722,0.98823,0.98965,0.51611,1.69021,0.66013,0.91107,0.00151429,0.00151429,0.00151429
