epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7833,4.99456,74.5759,2.13564,0,0,0,0,4.56528,65.5451,1.95482,2e-05,2e-05,2e-05
2,73.3491,4.88248,51.5147,2.13301,0,0,0,0,4.41107,36.9109,1.79236,4.901e-05,4.901e-05,4.901e-05
3,109.766,4.1835,20.2388,1.94804,0,0,0,0,4.09863,18.8835,1.75584,7.6832e-05,7.6832e-05,7.6832e-05
4,146.707,3.78217,13.9544,1.80125,0.00459,0.44,0.00431,0.00164,3.50163,12.6438,1.74199,0.000103466,0.000103466,0.000103466
5,183.13,3.32104,9.77625,1.47927,0.00459,0.64,0.0106,0.00406,3.03343,10.726,1.57534,0.000128912,0.000128912,0.000128912
6,219.459,2.6064,6.84854,1.21237,0.0064,0.72,0.14565,0.03932,2.95938,9.19418,1.54751,0.00015317,0.00015317,0.00015317
7,255.602,2.38995,5.93228,1.20434,0.31493,0.12,0.24945,0.0849,2.55858,5.94145,1.37987,0.00017624,0.00017624,0.00017624
8,292.199,2.29169,4.37361,1.17474,0.50228,0.6,0.52041,0.15544,2.35487,4.71423,1.31378,0.000198122,0.000198122,0.000198122
9,328.029,2.08688,3.68145,1.09434,0.77364,0.96,0.93416,0.34538,2.10032,3.07679,1.22458,0.000218816,0.000218816,0.000218816
10,363.889,2.31775,2.87921,1.14443,0.87189,0.81713,0.9392,0.38391,2.10074,2.93879,1.21986,0.000238322,0.000238322,0.000238322
11,399.831,1.89058,2.67115,1.05744,0.98846,0.64,0.68937,0.27642,2.11965,4.38134,1.21384,0.00025664,0.00025664,0.00025664
12,435.733,1.8136,2.60285,1.00972,0.99218,0.64,0.6941,0.27735,2.08213,4.79717,1.18784,0.00027377,0.00027377,0.00027377
13,472.454,1.81441,2.16437,1.0766,0.95447,0.96,0.98751,0.41742,2.00192,3.21653,1.1736,0.000289712,0.000289712,0.000289712
14,509.146,1.64751,2.04318,1.00633,1,0.94643,0.99204,0.40372,2.05381,2.92578,1.19755,0.000304466,0.000304466,0.000304466
15,544.911,1.64312,1.691,1.04854,0.99843,1,0.995,0.42885,1.96462,2.31832,1.16923,0.000318032,0.000318032,0.000318032
16,580.975,1.75127,1.64267,1.04252,0.99634,1,0.995,0.42358,1.95205,1.9063,1.18459,0.00033041,0.00033041,0.00033041
17,617.213,1.67729,1.47284,0.99849,0.99512,1,0.995,0.39663,1.92168,1.56189,1.19857,0.0003416,0.0003416,0.0003416
18,654.196,1.70373,1.38221,1.0356,0.99491,1,0.995,0.40524,1.9304,1.43006,1.186,0.000351602,0.000351602,0.000351602
19,690.462,1.54782,1.2243,0.99065,0.99355,1,0.995,0.38671,2.08072,1.42104,1.2135,0.000360416,0.000360416,0.000360416
20,727.018,1.68842,1.20622,0.98955,0.99714,1,0.995,0.39758,2.04125,1.36652,1.18646,0.000368042,0.000368042,0.000368042
21,763.309,1.59056,1.27609,0.97172,0.99642,1,0.995,0.40836,1.97636,1.17495,1.15861,0.00037448,0.00037448,0.00037448
22,799.392,1.40803,1.2656,0.97159,0.9966,1,0.995,0.47782,1.85554,1.08645,1.11465,0.00037973,0.00037973,0.00037973
23,835.622,1.66931,1.31961,1.00616,0.99657,1,0.995,0.4681,1.86445,1.12035,1.12226,0.000383792,0.000383792,0.000383792
24,871.33,1.48245,1.40202,0.95462,1,0.99637,0.995,0.45905,1.89189,1.08432,1.13611,0.000386666,0.000386666,0.000386666
25,907.741,1.53046,1.13407,0.95407,1,0.95074,0.99204,0.46274,1.85177,1.01959,1.11692,0.000388352,0.000388352,0.000388352
26,943.5,1.57245,1.28891,0.94329,0.99539,1,0.995,0.48669,1.75069,0.98051,1.07368,0.00038885,0.00038885,0.00038885
27,979.489,1.58682,1.17856,0.93461,0.99033,1,0.995,0.48136,1.76085,0.98517,1.08096,0.00038816,0.00038816,0.00038816
28,1015.15,1.49896,1.04614,0.94101,0.99057,1,0.995,0.44808,1.84609,1.03733,1.11915,0.000386282,0.000386282,0.000386282
29,1051.42,1.46893,0.97343,0.93561,0.99057,1,0.995,0.44808,1.84609,1.03733,1.11915,0.000383216,0.000383216,0.000383216
30,1087.63,1.49791,0.99847,1.02447,0.99631,1,0.995,0.4578,1.88196,0.97938,1.12581,0.000378962,0.000378962,0.000378962
31,1124.17,1.53468,0.93892,0.92233,0.99517,1,0.995,0.46847,1.82798,0.92478,1.09565,0.00037352,0.00037352,0.00037352
32,1160.6,1.35368,0.88004,0.95286,0.99737,1,0.995,0.48508,1.7278,0.86766,1.07179,0.00036689,0.00036689,0.00036689
33,1196.78,1.45707,0.89985,0.96081,0.99737,1,0.995,0.48508,1.7278,0.86766,1.07179,0.000359072,0.000359072,0.000359072
34,1233.46,1.52678,0.98992,0.96821,0.99737,1,0.995,0.472,1.79187,0.8526,1.09795,0.0003466,0.0003466,0.0003466
35,1269.6,1.4628,0.95311,0.95419,0.99724,1,0.995,0.43033,1.89393,0.86146,1.13716,0.0003268,0.0003268,0.0003268
36,1305.88,1.31714,0.86742,0.9207,0.99714,1,0.995,0.39637,1.99653,0.90632,1.183,0.000307,0.000307,0.000307
37,1342.71,1.48763,0.89489,0.93939,0.99714,1,0.995,0.39637,1.99653,0.90632,1.183,0.0002872,0.0002872,0.0002872
38,1378.68,1.32643,0.85427,0.91712,0.99719,1,0.995,0.4131,1.9655,0.86107,1.17625,0.0002674,0.0002674,0.0002674
39,2394.1,1.35182,0.79133,0.91135,0.99727,1,0.995,0.45858,1.87929,0.82435,1.14897,0.0002476,0.0002476,0.0002476
40,2610.35,1.42414,0.83401,0.94106,0.99741,1,0.995,0.48193,1.82754,0.81203,1.1358,0.0002278,0.0002278,0.0002278
41,2646.85,1.46585,0.96394,0.97424,0.99741,1,0.995,0.48193,1.82754,0.81203,1.1358,0.000208,0.000208,0.000208
42,2682.23,1.36402,0.91475,0.97314,0.99741,1,0.995,0.50697,1.77407,0.79507,1.11996,0.0001882,0.0001882,0.0001882
43,2717.2,1.37538,0.90755,0.90947,0.99732,1,0.995,0.51717,1.75101,0.78811,1.11051,0.0001684,0.0001684,0.0001684
44,2752.39,1.43491,0.92611,0.97681,0.99719,1,0.995,0.51362,1.75471,0.78504,1.11121,0.0001486,0.0001486,0.0001486
45,2787.81,1.2921,0.85306,0.95444,0.99719,1,0.995,0.51362,1.75471,0.78504,1.11121,0.0001288,0.0001288,0.0001288
46,2823.04,1.29297,0.86655,0.96215,0.99699,1,0.995,0.50579,1.7994,0.7975,1.13051,0.000109,0.000109,0.000109
47,2858.11,1.25927,0.88768,0.95246,0.99703,1,0.995,0.48646,1.83253,0.81358,1.14685,8.92e-05,8.92e-05,8.92e-05
48,2893.36,1.33287,0.88992,0.99523,0.99714,1,0.995,0.48567,1.8445,0.8195,1.15195,6.94e-05,6.94e-05,6.94e-05
49,2930.68,1.19905,0.86473,0.92971,0.99714,1,0.995,0.48567,1.8445,0.8195,1.15195,4.96e-05,4.96e-05,4.96e-05
50,2966.79,1.15424,0.85718,0.91119,0.99715,1,0.995,0.47626,1.85371,0.82021,1.15589,2.98e-05,2.98e-05,2.98e-05
