epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1537,4.2207,4.34501,1.51218,0.00045,0.00288,0.00033,5e-05,2.5671,4.13734,1.05149,0.00032381,0.00032381,0.00032381
2,24.5119,2.57231,2.12475,0.96519,0.62576,0.30339,0.39972,0.17644,2.17747,1.77099,0.96245,0.000650637,0.000650637,0.000650637
3,36.05,2.25569,1.48099,0.9108,0.6221,0.6382,0.61228,0.32145,1.88866,1.32618,0.89088,0.000970865,0.000970865,0.000970865
4,46.8561,2.10901,1.36495,0.8915,0.74371,0.70646,0.6841,0.36212,1.91365,1.26936,0.89002,0.0009703,0.0009703,0.0009703
5,58.7199,1.99162,1.22698,0.88001,0.85878,0.72336,0.76543,0.44407,1.70489,0.98169,0.88015,0.0009604,0.0009604,0.0009604
6,70.0154,1.91406,1.12341,0.85429,0.90784,0.75411,0.78922,0.49455,1.60707,0.8823,0.83887,0.0009505,0.0009505,0.0009505
7,80.7087,1.84255,1.05901,0.83419,0.94276,0.78366,0.80206,0.49161,1.5091,0.83913,0.82689,0.0009406,0.0009406,0.0009406
8,91.5159,1.77318,1.02258,0.82803,0.94542,0.79194,0.80259,0.50961,1.47301,0.80859,0.83323,0.0009307,0.0009307,0.0009307
9,102.713,1.69202,0.96192,0.82092,0.95909,0.79353,0.80703,0.54406,1.48361,0.79428,0.82084,0.0009208,0.0009208,0.0009208
10,113.9,1.69745,0.95277,0.8206,0.95726,0.79777,0.80922,0.55103,1.50076,0.75194,0.81345,0.0009109,0.0009109,0.0009109
11,125.407,1.66814,0.94248,0.81515,0.96555,0.8004,0.81135,0.56768,1.40956,0.73193,0.81093,0.000901,0.000901,0.000901
12,136.794,1.64932,0.90158,0.80976,0.96926,0.79885,0.8122,0.5639,1.43797,0.76104,0.81306,0.0008911,0.0008911,0.0008911
13,148.607,1.56356,0.87027,0.80662,0.96814,0.80125,0.81347,0.54479,1.36185,0.71915,0.81045,0.0008812,0.0008812,0.0008812
14,158.951,1.5535,0.86289,0.8057,0.97135,0.80214,0.81335,0.56301,1.2615,0.70276,0.80431,0.0008713,0.0008713,0.0008713
15,169.977,1.52262,0.85509,0.80329,0.9547,0.80254,0.81162,0.56555,1.243,0.68952,0.79329,0.0008614,0.0008614,0.0008614
16,181.661,1.62816,0.87533,0.80183,0.96939,0.80328,0.81253,0.53193,1.29423,0.70391,0.79541,0.0008515,0.0008515,0.0008515
17,192.731,1.58322,0.84395,0.79596,0.96329,0.80442,0.81489,0.56702,1.23465,0.66957,0.7986,0.0008416,0.0008416,0.0008416
18,204.188,1.47696,0.83207,0.80686,0.97256,0.80777,0.81645,0.59582,1.16391,0.66358,0.79191,0.0008317,0.0008317,0.0008317
19,215.823,1.4561,0.80763,0.79214,0.97558,0.80991,0.81896,0.60036,1.20285,0.6525,0.78849,0.0008218,0.0008218,0.0008218
20,227.309,1.43741,0.79532,0.79053,0.97352,0.81202,0.81965,0.59593,1.20588,0.64057,0.7862,0.0008119,0.0008119,0.0008119
21,238.63,1.45206,0.79426,0.78475,0.97511,0.80914,0.81948,0.60902,1.1336,0.62909,0.78506,0.000802,0.000802,0.000802
22,248.622,1.39805,0.77928,0.78057,0.9766,0.81303,0.82064,0.60986,1.10191,0.62347,0.78348,0.0007921,0.0007921,0.0007921
23,259.842,1.40696,0.7838,0.79441,0.97757,0.81594,0.82183,0.60293,1.19943,0.63425,0.78447,0.0007822,0.0007822,0.0007822
24,271.473,1.40281,0.76909,0.78525,0.97902,0.81223,0.82214,0.61308,1.12173,0.62312,0.78192,0.0007723,0.0007723,0.0007723
25,282.607,1.46268,0.76966,0.78572,0.97509,0.81484,0.82234,0.61029,1.17096,0.63948,0.78596,0.0007624,0.0007624,0.0007624
26,293.962,1.40693,0.76926,0.7803,0.97914,0.81659,0.82542,0.59501,1.34784,0.65593,0.78249,0.0007525,0.0007525,0.0007525
27,305.039,1.43107,0.76494,0.78349,0.97514,0.8127,0.83263,0.60699,1.17418,0.63419,0.77775,0.0007426,0.0007426,0.0007426
28,316.07,1.35371,0.74137,0.78406,0.97895,0.81737,0.84004,0.62341,1.10848,0.60742,0.78067,0.0007327,0.0007327,0.0007327
29,326.603,1.34974,0.74722,0.78435,0.98119,0.81464,0.87337,0.62062,1.15073,0.61131,0.78355,0.0007228,0.0007228,0.0007228
30,338.395,1.33832,0.72877,0.78719,0.97588,0.81564,0.91324,0.66047,1.08257,0.59867,0.78483,0.0007129,0.0007129,0.0007129
31,349.718,1.46266,0.76038,0.78059,0.8864,0.89106,0.90583,0.63792,1.15793,0.64732,0.78214,0.000703,0.000703,0.000703
32,360.801,1.4306,0.76041,0.78123,0.909,0.9241,0.91554,0.62635,1.18136,0.64722,0.77602,0.0006931,0.0006931,0.0006931
33,372.002,1.39959,0.74957,0.77749,0.92815,0.92456,0.91662,0.64659,1.167,0.63039,0.77676,0.0006832,0.0006832,0.0006832
34,383.406,1.33857,0.73179,0.78719,0.93329,0.92318,0.91589,0.64669,1.07627,0.58815,0.77808,0.0006733,0.0006733,0.0006733
35,393.542,1.3364,0.71966,0.78352,0.93784,0.92305,0.9163,0.6702,1.0926,0.59414,0.78395,0.0006634,0.0006634,0.0006634
36,404.577,1.36022,0.72699,0.77639,0.94058,0.92337,0.91645,0.60506,1.29801,0.63845,0.77612,0.0006535,0.0006535,0.0006535
37,415.902,1.4356,0.74886,0.77886,0.96748,0.91883,0.91599,0.5717,1.25114,0.63216,0.77857,0.0006436,0.0006436,0.0006436
38,427.458,1.41328,0.7335,0.77232,0.97682,0.91749,0.91631,0.63506,1.15875,0.62036,0.77617,0.0006337,0.0006337,0.0006337
39,438.703,1.36397,0.70946,0.77378,0.97292,0.92043,0.9169,0.62754,1.2248,0.60335,0.77579,0.0006238,0.0006238,0.0006238
40,450.481,1.35974,0.70828,0.77021,0.97241,0.91965,0.91738,0.67678,1.0723,0.57885,0.77353,0.0006139,0.0006139,0.0006139
41,461.635,1.31724,0.69657,0.7744,0.97746,0.91511,0.91747,0.67312,1.04644,0.57455,0.76992,0.000604,0.000604,0.000604
42,472.55,1.28573,0.68561,0.76408,0.98095,0.91583,0.91718,0.68872,1.08812,0.56982,0.77219,0.0005941,0.0005941,0.0005941
43,483.687,1.28469,0.68767,0.76806,0.9754,0.90738,0.91741,0.69088,1.02398,0.56585,0.77015,0.0005842,0.0005842,0.0005842
44,494.66,1.252,0.67429,0.77129,0.96962,0.91569,0.917,0.66397,1.08494,0.58095,0.77115,0.0005743,0.0005743,0.0005743
45,506.124,1.29828,0.69248,0.77485,0.97001,0.91726,0.91744,0.67052,1.0444,0.58951,0.76783,0.0005644,0.0005644,0.0005644
46,517.333,1.28487,0.69014,0.76858,0.97901,0.91436,0.91704,0.67518,1.08005,0.5653,0.77122,0.0005545,0.0005545,0.0005545
47,529.068,1.25496,0.6741,0.76897,0.9781,0.91348,0.91719,0.69418,1.03649,0.56874,0.76555,0.0005446,0.0005446,0.0005446
48,540.455,1.26835,0.66238,0.75956,0.97428,0.91634,0.91719,0.68539,1.044,0.56467,0.76653,0.0005347,0.0005347,0.0005347
49,550.652,1.26144,0.66433,0.76731,0.97644,0.91265,0.91791,0.66772,1.0322,0.55307,0.7707,0.0005248,0.0005248,0.0005248
50,562.521,1.21917,0.65843,0.77951,0.97561,0.91583,0.9182,0.69192,1.02849,0.55133,0.76854,0.0005149,0.0005149,0.0005149
51,573.892,1.30665,0.67745,0.75938,0.9743,0.91712,0.918,0.69956,0.98962,0.55239,0.76573,0.000505,0.000505,0.000505
52,585.392,1.2361,0.6561,0.76734,0.97329,0.91486,0.91836,0.67668,1.05933,0.55731,0.76596,0.0004951,0.0004951,0.0004951
53,596.684,1.25261,0.64445,0.76422,0.9698,0.91619,0.91863,0.69205,1.03972,0.55885,0.76686,0.0004852,0.0004852,0.0004852
54,607.826,1.22835,0.64486,0.76628,0.97252,0.91779,0.92056,0.69898,1.03571,0.54633,0.76915,0.0004753,0.0004753,0.0004753
55,618.477,1.2579,0.64563,0.7642,0.97719,0.91577,0.92204,0.69243,1.02535,0.55047,0.77019,0.0004654,0.0004654,0.0004654
56,629.565,1.2659,0.65234,0.77356,0.97229,0.91731,0.92502,0.69996,1.02067,0.55549,0.76883,0.0004555,0.0004555,0.0004555
57,640.859,1.22513,0.64074,0.76929,0.97564,0.91801,0.92667,0.71563,1.01181,0.53789,0.76519,0.0004456,0.0004456,0.0004456
58,652.492,1.25202,0.64614,0.75986,0.97626,0.91785,0.92784,0.6934,0.97976,0.54313,0.76355,0.0004357,0.0004357,0.0004357
59,663.906,1.24713,0.648,0.7646,0.97507,0.91407,0.93051,0.6892,1.0049,0.55355,0.76543,0.0004258,0.0004258,0.0004258
60,675.057,1.23096,0.6402,0.76104,0.9755,0.91744,0.93719,0.69729,0.9853,0.52454,0.76563,0.0004159,0.0004159,0.0004159
61,686.394,1.2182,0.62456,0.76454,0.97276,0.91503,0.93739,0.69547,1.10214,0.57013,0.76665,0.000406,0.000406,0.000406
62,696.341,1.23019,0.63457,0.75951,0.97696,0.91752,0.93927,0.69523,1.01464,0.5412,0.76285,0.0003961,0.0003961,0.0003961
63,707.566,1.18909,0.6207,0.76313,0.97747,0.91597,0.94137,0.71283,0.97674,0.52848,0.76361,0.0003862,0.0003862,0.0003862
64,718.933,1.17092,0.61259,0.76053,0.97989,0.92359,0.95717,0.72745,0.97316,0.52378,0.76187,0.0003763,0.0003763,0.0003763
65,730.197,1.19622,0.61705,0.75521,0.96558,0.94741,0.96133,0.72037,0.98095,0.52579,0.762,0.0003664,0.0003664,0.0003664
66,741.745,1.18129,0.61211,0.76166,0.96293,0.95847,0.96296,0.72323,0.98661,0.52952,0.76972,0.0003565,0.0003565,0.0003565
67,753.31,1.20175,0.61773,0.75863,0.9649,0.96031,0.96481,0.73651,0.99667,0.52889,0.76221,0.0003466,0.0003466,0.0003466
68,764.096,1.18897,0.61872,0.7578,0.97084,0.9621,0.96745,0.74003,0.96203,0.52688,0.76127,0.0003367,0.0003367,0.0003367
69,774.947,1.17538,0.61183,0.75912,0.9777,0.96151,0.9717,0.72827,0.97858,0.51914,0.76129,0.0003268,0.0003268,0.0003268
70,786.454,1.17502,0.61247,0.76223,0.98038,0.95718,0.97268,0.73403,0.97486,0.52255,0.76143,0.0003169,0.0003169,0.0003169
71,797.528,1.21004,0.61978,0.75355,0.97943,0.95785,0.97261,0.72798,0.97667,0.52025,0.76012,0.000307,0.000307,0.000307
72,808.871,1.16791,0.60771,0.76012,0.97985,0.95788,0.97454,0.72596,0.96071,0.51636,0.75936,0.0002971,0.0002971,0.0002971
73,820.506,1.17816,0.60921,0.75452,0.97969,0.94937,0.97567,0.72862,0.95537,0.51286,0.75937,0.0002872,0.0002872,0.0002872
74,832.134,1.15432,0.60201,0.75586,0.96327,0.96754,0.97724,0.73193,0.95346,0.51024,0.76015,0.0002773,0.0002773,0.0002773
75,842.266,1.18853,0.59604,0.74846,0.97107,0.96904,0.9801,0.74554,0.91859,0.49855,0.75808,0.0002674,0.0002674,0.0002674
76,853.676,1.16887,0.60104,0.75705,0.96424,0.97574,0.97841,0.74972,0.92925,0.49755,0.7596,0.0002575,0.0002575,0.0002575
77,865.06,1.15487,0.59335,0.76028,0.96877,0.9751,0.97741,0.75761,0.9242,0.50646,0.75798,0.0002476,0.0002476,0.0002476
78,876.153,1.15321,0.58843,0.75673,0.95893,0.97643,0.97632,0.74609,0.9361,0.50451,0.75894,0.0002377,0.0002377,0.0002377
79,887.654,1.12718,0.58948,0.75736,0.97446,0.96746,0.97766,0.76146,0.931,0.50008,0.7583,0.0002278,0.0002278,0.0002278
80,898.946,1.1514,0.58742,0.7516,0.96776,0.9753,0.97868,0.76136,0.92263,0.4952,0.7578,0.0002179,0.0002179,0.0002179
81,909.37,1.13627,0.58772,0.75916,0.97672,0.97769,0.98,0.76731,0.9212,0.49627,0.75813,0.000208,0.000208,0.000208
82,920.913,1.15108,0.58607,0.75114,0.98369,0.97174,0.982,0.77529,0.90654,0.49222,0.75684,0.0001981,0.0001981,0.0001981
83,932.45,1.12534,0.58232,0.75578,0.98389,0.97325,0.98211,0.76113,0.94513,0.49622,0.7578,0.0001882,0.0001882,0.0001882
84,943.95,1.15557,0.58662,0.75013,0.97516,0.9734,0.97878,0.75019,0.91178,0.49416,0.75722,0.0001783,0.0001783,0.0001783
85,955.218,1.13625,0.58198,0.75701,0.98487,0.97213,0.98173,0.76306,0.91413,0.49252,0.75668,0.0001684,0.0001684,0.0001684
86,966.64,1.12126,0.58546,0.75627,0.98292,0.97247,0.98152,0.75876,0.9047,0.49142,0.75634,0.0001585,0.0001585,0.0001585
87,977.562,1.14931,0.58139,0.74974,0.97377,0.97266,0.97818,0.76313,0.9176,0.49777,0.75709,0.0001486,0.0001486,0.0001486
88,988.455,1.15871,0.58276,0.74915,0.97226,0.97178,0.97681,0.75312,0.95012,0.50668,0.75612,0.0001387,0.0001387,0.0001387
89,999.406,1.15181,0.58924,0.75197,0.97121,0.97307,0.9783,0.75712,0.9822,0.51168,0.75609,0.0001288,0.0001288,0.0001288
90,1010.53,1.12324,0.57544,0.75485,0.97531,0.97239,0.98081,0.76238,0.90815,0.48836,0.75648,0.0001189,0.0001189,0.0001189
91,1024.1,1.10815,0.63063,0.76683,0.97487,0.97226,0.98038,0.75077,1.02365,0.53191,0.76136,0.000109,0.000109,0.000109
92,1035.21,1.0734,0.61264,0.772,0.97134,0.97339,0.98183,0.76101,0.98273,0.50569,0.76129,9.91e-05,9.91e-05,9.91e-05
93,1046.49,1.05799,0.6103,0.76518,0.9722,0.97146,0.98197,0.76627,0.96231,0.51025,0.76158,8.92e-05,8.92e-05,8.92e-05
94,1057.18,1.06129,0.59902,0.76705,0.97356,0.97043,0.98175,0.76671,0.9456,0.50675,0.75718,7.93e-05,7.93e-05,7.93e-05
95,1067.71,1.05459,0.58956,0.76412,0.97454,0.97129,0.98209,0.76336,0.9503,0.51537,0.76047,6.94e-05,6.94e-05,6.94e-05
96,1078.88,1.01602,0.57385,0.77099,0.9735,0.97145,0.98222,0.76608,0.92739,0.50327,0.75977,5.95e-05,5.95e-05,5.95e-05
97,1089.82,1.03314,0.57932,0.76628,0.97218,0.9715,0.9813,0.759,0.93708,0.50322,0.75726,4.96e-05,4.96e-05,4.96e-05
98,1100.77,1.03522,0.57692,0.75959,0.97426,0.97397,0.98195,0.76806,0.9218,0.49485,0.75689,3.97e-05,3.97e-05,3.97e-05
